Name,Team,PA,Damage/BBE,Pulled FB (%),90th Pctile EV,Max EV,SEAGER,Selectivity (%),Hittable Pitch Take (%),Chase (%),Z-Contact (%),Zone (%),Z-Swing (%),Whiff vs. Secondaries (%)
Sandy León,ATL,44,16.7,11.5,97.0,98.8,12.7,45.2,32.5,39.2,81.2,55.4,70.4,23.3
Drake Logan,CWS,4,100.0,50.0,97.0,97.2,12.5,50.0,37.5,25.0,50.0,73.3,54.5,0.0
Luis Guanipa,ATL,3,0.0,0.0,100.9,101.5,12.5,37.5,25.0,25.0,100.0,63.6,85.7,0.0
Billy Cook,PIT,32,17.6,8.3,101.1,110.9,11.5,41.8,30.3,53.8,83.8,57.1,71.2,20.0
Edgar Alvarez,CHC,4,0.0,33.3,85.3,86.3,11.1,55.6,44.4,50.0,100.0,55.6,50.0,0.0
Gustavo Campero,LAA,4,0.0,50.0,75.5,77.5,11.1,44.4,33.3,33.3,60.0,53.8,71.4,80.0
AJ Salgado,NYM,3,33.3,0.0,108.6,110.1,11.1,44.4,33.3,16.7,100.0,53.8,85.7,16.7
Brett Wisely,ATL,7,25.0,20.0,101.6,104.5,10.6,40.0,29.4,42.1,93.8,53.7,72.7,0.0
Rikuu Nishida,CWS,31,0.0,15.4,96.6,102.0,10.4,50.0,39.6,29.5,72.2,56.9,62.1,23.5
Nelson Velázquez,STL,32,57.1,9.5,109.4,113.2,10.2,47.2,37.0,32.6,84.6,57.4,62.9,25.0
Pablo Reyes,SD,2,,0.0,102.9,104.1,10.0,50.0,40.0,40.0,100.0,54.5,66.7,0.0
Antonio Anderson,BOS,2,0.0,50.0,77.0,77.2,10.0,50.0,40.0,25.0,100.0,55.6,60.0,0.0
Nathan Flewelling,TB,2,,,,,10.0,60.0,50.0,0.0,66.7,66.7,50.0,50.0
Trent Farquhar,PHI,2,0.0,0.0,88.0,88.0,10.0,60.0,50.0,0.0,50.0,50.0,50.0,
Angel Ortiz,AZ,3,0.0,0.0,84.0,84.0,10.0,60.0,50.0,40.0,50.0,50.0,40.0,100.0
Jonathon Long,CHC,8,60.0,20.0,104.3,104.9,9.3,45.0,35.7,20.0,72.7,63.0,64.7,40.0
Jonathan Mejía,STL,4,0.0,0.0,105.6,109.0,9.1,54.5,45.5,33.3,83.3,55.0,54.5,0.0
Greg Jones,MIL,25,16.7,0.0,100.6,109.1,9.1,48.1,39.0,40.0,70.0,54.0,63.8,52.6
Will Brennan,SF,28,13.3,25.0,102.6,108.3,8.2,38.2,30.0,54.8,97.1,52.3,76.1,4.0
Carson Williams,TB,42,26.3,19.2,107.0,110.1,7.9,44.4,36.5,39.1,81.1,51.7,71.6,52.8
Christian Koss,SF,20,0.0,33.3,95.0,100.1,7.8,37.8,30.0,40.9,76.0,59.3,78.1,50.0
Sammy Siani,SEA,5,0.0,25.0,86.4,90.0,7.7,53.8,46.2,25.0,100.0,45.5,60.0,16.7
Je'Von Ward,TOR,3,0.0,50.0,85.1,88.4,7.1,50.0,42.9,20.0,50.0,58.3,57.1,33.3
Brett Harris,ATH,6,0.0,0.0,78.5,80.4,7.1,50.0,42.9,0.0,75.0,59.1,61.5,40.0
Tony Bullard,MIA,2,100.0,50.0,97.5,97.5,6.7,40.0,33.3,0.0,75.0,71.4,80.0,50.0
Daniel Bucciero,ATH,2,0.0,50.0,105.7,106.8,6.7,40.0,33.3,0.0,100.0,66.7,75.0,0.0
Ben Rortvedt,NYM,6,33.3,0.0,100.9,104.1,6.2,60.0,53.8,55.6,100.0,57.1,25.0,33.3
Chadwick Tromp,ATL,27,18.2,31.6,100.8,105.0,5.5,46.4,40.9,50.0,83.9,47.1,64.6,44.4
Cannon Peebles,CLE,3,,0.0,95.8,98.2,2.9,42.9,40.0,0.0,83.3,72.7,75.0,50.0
Dean Curley,CLE,3,,0.0,107.1,107.1,2.9,60.0,57.1,0.0,100.0,88.9,25.0,
Chase Call,HOU,3,0.0,50.0,90.9,91.0,1.6,44.4,42.9,33.3,100.0,57.1,62.5,40.0
Kien Vu,CIN,2,,0.0,68.0,68.0,1.6,44.4,42.9,20.0,100.0,64.3,66.7,0.0
Marco Dinges,MIL,3,50.0,33.3,92.2,92.5,0.0,50.0,50.0,50.0,100.0,60.0,66.7,
Ricardo Romero,CLE,1,0.0,100.0,79.6,79.6,0.0,50.0,50.0,0.0,100.0,66.7,50.0,
Trevor Hauver,TEX,1,,0.0,70.7,70.7,0.0,50.0,50.0,,100.0,100.0,33.3,
Axel Sanchez,SEA,1,,,,,0.0,50.0,50.0,0.0,100.0,66.7,50.0,0.0
Wallace Clark,AZ,3,0.0,0.0,68.9,70.5,0.0,50.0,50.0,66.7,100.0,50.0,66.7,0.0
David García,MIL,1,0.0,0.0,97.8,97.8,0.0,50.0,50.0,0.0,100.0,66.7,50.0,0.0
Jack Winnay,BOS,2,0.0,0.0,82.3,82.3,0.0,50.0,50.0,0.0,50.0,50.0,66.7,0.0
Gabriel Rodriguez,PIT,2,0.0,0.0,67.8,67.8,0.0,50.0,50.0,0.0,100.0,71.4,60.0,0.0
Brady Counsell,AZ,1,,0.0,70.3,70.3,0.0,50.0,50.0,,100.0,100.0,33.3,0.0
